Process1,Process2,similarity
301620,999322,0.7777777777777778
301620,150804,0.7777777777777778
947546,839215,0.7777777777777778
947546,999322,0.7777777777777778
947546,150804,0.7777777777777778
150804,839215,0.7777777777777778
150804,999322,0.7777777777777778
999322,839215,0.7777777777777778
673946,251293,0.7777777777777778
805605,962572,0.7692307692307693
866401,920655,0.7692307692307693
345890,186337,0.7692307692307693
345890,308807,0.7692307692307693
345890,998423,0.7692307692307693
821154,726973,0.7692307692307693
615924,150484,0.7647058823529411
168543,689165,0.7647058823529411
884114,915168,0.7586206896551724
915168,706036,0.7586206896551724
219046,743042,0.7586206896551724
219046,706036,0.7586206896551724
706036,834418,0.7586206896551724
706036,892444,0.7586206896551724
706036,280463,0.7586206896551724
743042,280463,0.7586206896551724
743042,834418,0.7586206896551724
441847,302838,0.75
232616,737017,0.75
795899,347711,0.75
197055,488912,0.75
618540,207000,0.75
585278,127597,0.75
157103,787334,0.75
157103,686009,0.75
686009,787334,0.75
707544,987748,0.75
707544,880224,0.75
880224,987748,0.75
376784,875534,0.75
376784,414691,0.75
862486,272176,0.75
